epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,700.241,1.47918,1.77734,1.36543,0.48607,0.46705,0.42598,0.24145,1.76828,2.06082,1.61017,0.00090776,0.00090776,0.00090776
43,716.839,1.50047,1.77592,1.37537,0.43064,0.50797,0.40783,0.23656,1.73388,2.13334,1.596,0.00088112,0.00088112,0.00088112
44,733.422,1.49945,1.71567,1.34543,0.46562,0.43827,0.41248,0.2242,1.7583,2.207,1.62361,0.00085448,0.00085448,0.00085448
45,749.54,1.52736,1.81445,1.3986,0.5114,0.47284,0.43508,0.24599,1.74108,2.05155,1.58514,0.00082784,0.00082784,0.00082784
46,765.175,1.50041,1.74727,1.36454,0.49448,0.46914,0.4224,0.23338,1.69086,2.04829,1.6021,0.0008012,0.0008012,0.0008012
47,782.375,1.51021,1.75904,1.39033,0.49781,0.43323,0.40022,0.22817,1.75553,2.09974,1.63323,0.00077456,0.00077456,0.00077456
48,798.553,1.5252,1.74914,1.3608,0.50898,0.46667,0.41491,0.23304,1.71001,2.07477,1.59315,0.00074792,0.00074792,0.00074792
49,814.015,1.4484,1.68153,1.33605,0.50328,0.41975,0.40711,0.24169,1.72769,2.2045,1.61298,0.00072128,0.00072128,0.00072128
50,830.087,1.46093,1.70538,1.36784,0.47761,0.47654,0.40659,0.21652,1.7658,2.10765,1.63007,0.00069464,0.00069464,0.00069464
51,846.201,1.47848,1.73007,1.35794,0.50476,0.46296,0.42694,0.2296,1.72694,2.08015,1.60888,0.000668,0.000668,0.000668
52,862.331,1.46063,1.64815,1.34372,0.51408,0.48065,0.43858,0.24582,1.69488,1.98883,1.60094,0.00064136,0.00064136,0.00064136
53,878.64,1.47539,1.65966,1.34141,0.51019,0.44938,0.42589,0.23621,1.73925,2.05792,1.60475,0.00061472,0.00061472,0.00061472
54,895.117,1.41554,1.67212,1.3305,0.50933,0.49851,0.4402,0.23668,1.73071,2.01019,1.63378,0.00058808,0.00058808,0.00058808
55,911.859,1.40319,1.62816,1.32542,0.5449,0.45926,0.43519,0.24581,1.70968,2.01589,1.60512,0.00056144,0.00056144,0.00056144
